,country,consumption_co2
0,Argentina,90.6183076923077
1,Australia,196.41728846153848
2,Brazil,235.76884615384614
3,Canada,326.18167307692306
4,China,3325.060134615385
5,European Union (27),2452.5531538461537
6,France,293.20309615384616
7,Germany,610.6135576923077
8,India,788.1742884615385
9,Indonesia,215.69984615384615
10,Italy,323.70471153846154
11,Japan,858.1235769230769
12,Mexico,271.3860576923077
13,Russia,769.6294807692308
14,Saudi Arabia,237.64959615384618
15,South Africa,172.86301923076923
16,South Korea,329.8209038461539
17,Turkey,183.14071153846155
18,United Kingdom,393.05103846153844
19,United States,3478.433423076923
